,id_card
1849,644964
1850,1292202
1851,369388
1852,1422313
1853,1625708
1854,1188728
1855,547770
1856,1813422
1857,1154256
1858,1706585
1859,1809193
1860,374
1861,192103
1862,1451375
1863,419141
1864,1422290
1865,1098599
1866,999069
1867,1077311
1868,1183842
1869,1265454
1870,1147624
1871,576366
1872,1528630
1873,13547
1874,978352
1875,476447
1876,978123
1877,1751469
1878,1855085
1879,397203
1880,991916
1881,1293403
1882,985351
1883,1152241
1884,663078
1885,1266884
1886,1447811
1887,652196
1888,978323
1889,421979
1890,537196
1891,350405
1892,19429
1893,890722
1894,1109938
1895,1152276
1896,260324
1897,1690902
1898,947327
1899,1147211
1900,693876
1901,1078174
1902,1101173
1903,1447819
1904,232
1905,1708895
1906,1610766
1907,1113028
1908,684027
1909,1147633
1910,639425
1911,474729
1912,1213556
1913,1497819
1914,1152147
1915,391440
1916,720076
1917,1422909
1918,1308972
1919,1057989
1920,1499926
1921,1079464
1922,1115706
1923,886783
1924,897746
1925,178800
1926,1151643
1927,888200
1928,764069
1929,1422256
1930,1362343
1931,391911
1932,391
1933,814091
1934,719633
1935,1087778
1936,736676
1937,1151963
1938,234076
1939,302007
1940,1093498
1941,706311
1942,248248
1943,1211146
1944,1622443
1945,1780191
1946,1522205
1947,935452
1948,1746116
1949,183
1950,74240
1951,921148
1952,1821018
1953,1495471
1954,1384723
1955,266554
1956,1759259
1957,229613
1958,1708477
1959,422012
1960,958211
1961,490852
1962,98
1963,1265991
1964,1683369
1965,33781
1966,498811
1967,955740
1968,300460
1969,158045
1970,320895
1971,1108039
1972,595581
1973,81052
1974,128561
1975,881439
1976,89432
1977,492187
1978,1197479
1979,1117987
1980,140582
1981,1422261
1982,1232656
1983,914356
1984,1294942
1985,1345579
1986,383786
1987,886965
1988,1587259
1989,473735
1990,934855
1991,1016843
1992,1645577
1993,907946
1994,1332
1995,921113
1996,892927
1997,810748
1998,1814939
1999,614838
2000,1197361
2001,1703655
2002,1849863
2003,764518
2004,1406069
2005,1184426
2006,1315720
2007,41
2008,694140
2009,421999
2010,1485394
2011,1753501
2012,60653
2013,1663525
2014,1501860
2015,687789
2016,59550
2017,1147931
2018,1590055
2019,36697
2020,1770731
2021,1152248
2022,1060001
2023,1147907
2024,1547631
2025,671445
2026,196565
2027,1819540
2028,816934
2029,327206
2030,1098971
2031,185450
2032,1896460
2033,1634048
2034,482506
2035,1422269
2036,473177
2037,422022
2038,528099
2039,890718
2040,1353783
2041,1151998
2042,1449947
2043,167019
2044,1294720
2045,45377
2046,541740
2047,1467895
2048,310127
2049,695209
2050,978509
2051,49
2052,175
2053,1756416
2054,193336
2055,557990
2056,709772
2057,1098822
2058,886126
2059,63318
2060,1165817
2061,1889575
2062,1232461
2063,724868
2064,1613188
2065,947800
2066,551748
2067,764709
2068,694998
2069,1422995
2070,401596
2071,1282347
2072,36020
2073,644572
2074,1082832
2075,1321627
2076,900664
2077,469670
2078,1768027
2079,57202
2080,197439
2081,1244344
2082,1639558
2083,1485479
2084,73267
2085,1450035
2086,1473130
2087,1405496
2088,197417
2089,875606
2090,1848433
2091,401602
2092,339648
2093,1091291
2094,808783
2095,1227439
2096,167488
2097,1422823
2098,209653
2099,1708246
2100,1487565
2101,82161
2102,874370
2103,602889
2104,765673
2105,1238429
2106,1182983
2107,525774
2108,1756250
2109,1132509
2110,1761347
2111,1447808
2112,197409
2113,1744597
2114,978252
2115,1714936
2116,8110
2117,995089
2118,553414
2119,1400168
2120,1147221
2121,572454
2122,1232259
2123,497047
2124,1411541
2125,107590
2126,1561182
2127,1854103
2128,15403
2129,1647167
2130,468049
2131,309709
2132,50149
2133,682900
2134,280119
2135,832034
2136,596290
2137,113639
2138,432591
2139,781014
2140,1625633
2141,72127
2142,931316
2143,845862
2144,1774520
2145,938808
2146,1839184
2147,1527247
2148,172976
2149,1226039
2150,206715
2151,1084542
2152,376357
2153,838268
2154,1159637
2155,169109
2156,1847506
2157,978487
2158,397165
2159,139591
2160,1038223
2161,1839396
2162,1163577
2163,1190337
2164,604019
2165,449948
2166,1262265
2167,978333
2168,1707099
2169,292575
2170,1564378
2171,630754
2172,1708201
2173,978964
2174,1740209
2175,881481
2176,153631
2177,105175
2178,1628412
2179,149295
2180,890347
2181,1578869
2182,1781926
2183,849965
2184,264997
2185,1214440
2186,1612535
2187,1349644
2188,978198
2189,498461
2190,1152025
2191,1422740
2192,1808965
2193,1703438
2194,1151958
2195,1281309
2196,398503
2197,307552
2198,1615173
2199,1625697
2200,1433815
2201,1422639
2202,661262
2203,713809
2204,49697
2205,1176200
2206,35
2207,278868
2208,978237
2209,1008837
2210,1780895
2211,978240
2212,541998
2213,436878
2214,421945
2215,1344410
2216,733076
2217,1087612
2218,839886
2219,319449
2220,222490
2221,1849831
2222,1317004
2223,1045450
2224,1826444
2225,652198
2226,74834
2227,683194
2228,1355952
2229,840887
2230,585734
2231,790969
2232,683759
2233,117583
2234,949713
2235,1660507
2236,1816905
2237,1231032
2238,211380
2239,61234
2240,421961
2241,81440
2242,1293002
2243,25584
2244,397211
2245,617953
2246,77201
2247,978623
2248,1241024
2249,978962
2250,1625685
2251,699566
2252,605399
2253,1192719
2254,1152262
2255,1162445
2256,1219991
2257,1414186
2258,1194890
2259,1477446
2260,1389654
2261,1453634
2262,1422334
2263,328502
2264,799222
2265,802206
2266,1814392
2267,1073122
2268,171775
2269,201664
2270,1343548
2271,396588
2272,847323
2273,329666
2274,622992
2275,1486313
2276,1488566
2277,1037205
2278,1693790
2279,1547611
2280,871457
2281,1673052
2282,547866
2283,760088
2284,544142
2285,1198703
2286,1623084
2287,186982
2288,1668223
2289,765234
2290,40657
2291,1731451
2292,281375
2293,1147933
2294,210618
2295,199299
2296,1854119
2297,1622754
2298,1264720
2299,366287
2300,1443306
2301,257457
2302,529248
2303,169
2304,9225
2305,463018
2306,1317136
2307,160281
2308,437703
2309,1323945
2310,624994
2311,420837
2312,397052
2313,1152045
2314,441069
2315,561399
2316,549771
2317,1338602
2318,257309
2319,121
2320,397176
2321,448955
2322,297247
2323,1700740
2324,741182
2325,392924
2326,100289
2327,188274
2328,132272
2329,941656
2330,397057
2331,749
